,Nombres_completos,ano,codigo_partido,nombre_partido,votos,Nuevo_S,Nuevo_P,EGIVECTOR,DEGREECENTR,CLOSESNES,BETWEENES,SECTORSOCIAL,Educación,Salud,Trabajo,Agricultura,Vivienda,JUSTICIAYSEGURIDAD,Justicia,Defensa,PoliciaNacional,INFRAESTRUCTURA,ObrasPúblicas,MinasyEnergía,Comunicaciones,ADMON.DELESTADOYOTROS,Gobierno,RelacionesExteriores,Hacienda,Desarrollo,CongresoNacional,C.G.R,DepartamentosAdmin.*,Otros**,DEUDAPUBLICA(intereses),GASTOTOTAL,INF,SECTOR_SOCIAL_PER,JUSTICIA_SEGURIDAD_PER,INFRAESTRUCTURA_PER,ADMON_ESTADO_PER,DEUDA_PUBLICA_PER,Prop_S,Prop_P
14310,CONSUELO GONZALEZ DE PERDOMO,2010.0,20100070.0,UNIDAD LIBERAL,16720.0,1,1,0.0064783933582428,0.0492424242424242,0.3600117554858933,0.0031596492166584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
14575,CRISANTO PIZO MAZABUEL,2010.0,18480001.0,PARTIDO LIBERAL COLOMBIANO,28876.0,1,0,0.0065312881821242,0.1969696969696969,0.3762285012285012,0.0008848856177738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
14840,DAIRA DE JESUS GALVIS MENDEZ,2010.0,20030001.0,PARTIDO CAMBIO RADICAL COLOMBIANO,65939.0,1,1,0.0019010110385442,0.0871212121212121,0.3065054211843203,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
15105,DAVID ALEJANDRO BARGUIL ASSIS,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,48433.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
15370,DIDIER ALBERTO TAVERA AMADO,2010.0,19970004.0,MOVIMIENTO DE INTEGRACION NACIONAL,37868.0,0,0,6.4775478113947976e-31,0.0378787878787878,0.0378787878787878,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
15635,DIDIER BURGOS RAMIREZ,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,25488.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
15900,DIEGO ALBERTO NARANJO ESCOBAR,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,25871.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
16165,DIEGO PATIÑO AMARILES,2010.0,18480001.0,PARTIDO LIBERAL COLOMBIANO,24085.0,1,0,0.0065623944008253,0.2007575757575757,0.393048128342246,0.0017832078008544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
16430,DIELA LILIANA BENAVIDES SOLARTE,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,31629.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
16695,DILIAN FRANCISCA TORO TORRES,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,151624.0,1,1,0.1171080118199221,0.3181818181818182,0.4261363636363636,0.0103255429736414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
16960,EDGAR ALFONSO GOMEZ ROMAN,2010.0,18480001.0,PARTIDO LIBERAL COLOMBIANO,60366.0,1,0,0.0049681277638166,0.1969696969696969,0.3687537627934978,0.0789955973528617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
17225,EDGAR ESPINDOLA NIÑO,2010.0,20100071.0,PARTIDO DE INTEGRACION NACIONAL - PIN,42157.0,1,1,5.7697165376128964e-34,0.0303030303030303,0.0303030303030303,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
17490,EDINSON DELGADO RUIZ,2010.0,18480001.0,PARTIDO LIBERAL COLOMBIANO,36160.0,1,0,0.0049598094997379,0.1931818181818181,0.3268991282689912,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
17755,EDUARDO AGATON DIAZ-GRANADOS ABADIA,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,19787.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
18020,EDUARDO ALFONSO CRISSIEN BORRERO,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,35030.0,1,1,0.1151963309827423,0.2840909090909091,0.3866792929292929,0.0004461853393665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
